f1,accuracy,recall,precision,auc,exp_idx,epsilon,gen_idx,engine,similarity
0.563573883161512,0.8127879122903998,0.5117004680187207,0.627151051625239,0.8292305323093504,source,,source,,
0.38698534737311274,0.3241815613291567,0.9030161206448258,0.24625966106502162,0.5256801200877951,0,0.001,0,priv_bayes,0.6003961794785172
0.30265532353699404,0.33542165714636696,0.6105044201768071,0.20119965724078834,0.430462931424374,0,0.001,1,priv_bayes,0.6007544813324733
0.3841067492702687,0.3649652969719305,0.8382735309412377,0.24913066996368133,0.532720881814766,0,0.001,2,priv_bayes,0.5986405003941321
0.3909048615957199,0.3566734230084147,0.873894955798232,0.25176029962546814,0.5376551829262555,0,0.001,3,priv_bayes,0.5993724598957854
0.38640368328312397,0.33695718936183283,0.8837753510140406,0.24725394631555975,0.5262654728143288,0,0.001,4,priv_bayes,0.6006265163846319
0.25042210965964634,0.48191143050181195,0.36635465418616747,0.19022546240043203,0.40905204201734613,1,0.001,0,priv_bayes,0.5866476254824279
0.2636525273050546,0.4658190528837295,0.4048361934477379,0.19548022598870057,0.4206448676121552,1,0.001,1,priv_bayes,0.5869393855635064
0.24491861347727079,0.4500952029973589,0.37753510140405616,0.18125078017725627,0.40543631877965103,1,0.001,2,priv_bayes,0.5884698463396906
0.24870891056643982,0.4370738898102082,0.39443577743109726,0.1816113971028373,0.40172008327860254,1,0.001,3,priv_bayes,0.5877225310442964
0.08683505994645559,0.5181499907868067,0.0969838793551742,0.07860906217070601,0.32679008326396586,1,0.001,4,priv_bayes,0.586826776409406
0.35739210284664835,0.5701738222467907,0.5059802392095684,0.2762634866553095,0.5260593463545538,2,0.001,0,priv_bayes,0.6157110244361865
0.39479763840164284,0.5655672256003931,0.5998439937597504,0.2942226756791226,0.5635220881292027,2,0.001,1,priv_bayes,0.614528628318131
0.3725887430635075,0.5624961611694613,0.5499219968798752,0.2817370454242707,0.5522642650780418,2,0.001,2,priv_bayes,0.6169906739146013
0.3474535935268919,0.5789570665192556,0.4745189807592304,0.27406517495119387,0.5475911243928647,2,0.001,3,priv_bayes,0.6144416121535988
0.38982341618545485,0.5521773846815307,0.6055642225689027,0.28742441071208197,0.5587123870962076,2,0.001,4,priv_bayes,0.614334121597412
0.2393711436057814,0.4472698237209017,0.36817472698907955,0.1773324984345648,0.4514839829620527,3,0.001,0,priv_bayes,0.6001095379953523
0.27494639617351146,0.45998403046495917,0.4334373374934997,0.20132850241545894,0.4565578344886912,3,0.001,1,priv_bayes,0.6006213977867182
0.2644451739986868,0.4495424113997912,0.41887675507020283,0.1932118013912209,0.46539833446976797,3,0.001,2,priv_bayes,0.5995516108227634
0.25928930715560605,0.43922363491186045,0.4154966198647946,0.1884433962264151,0.43299321840183613,3,0.001,3,priv_bayes,0.6003961794785173
0.2622533418204964,0.43050181192801423,0.4284971398855954,0.18894748910800274,0.4381609329511902,3,0.001,4,priv_bayes,0.5998587266975829
0.018900343642611683,0.6492844419875929,0.014300572022880915,0.027862208713272545,0.4299036947404715,4,0.001,0,priv_bayes,0.5644329105371456
0.018890606216726773,0.649100178121737,0.014300572022880915,0.0278199291856348,0.4298634751984369,4,0.001,1,priv_bayes,0.5678930827267795
